,Type,Ort
45715,explosion,"9 km SW of Cottage Grove, Oregon"
45723,explosion,"4 km NNE of Conway, Washington"
45764,explosion,"1 km SW of Kapowsin, Washington"
45766,explosion,"2 km ENE of Kapowsin, Washington"
45772,explosion,"29 km SE of Cascadia, Oregon"
45773,explosion,"11 km E of Fox, Alaska"
46125,explosion,"4 km SSW of La Pine, Oregon"
46155,explosion,"13 km ENE of Fox, Alaska"
46178,explosion,"3 km SW of Princeton, Canada"
46224,explosion,"7 km E of Ashland, Oregon"
46573,explosion,"6 km WNW of Friday Harbor, Washington"
46602,explosion,"1 km ENE of Granite Falls, Washington"
46627,explosion,"4 km NW of Metchosin, Canada"
46949,explosion,"5 km NNW of Metchosin, Canada"
46977,explosion,"13 km ENE of Fox, Alaska"
46988,explosion,"8 km E of Abbotsford, Canada"
47017,explosion,Washington
47082,explosion,"3 km N of Canyonville, Oregon"
47370,explosion,"0 km SE of Princeton, Canada"
47416,explosion,"17 km NNW of Two Rivers, Alaska"
47721,explosion,"10 km ENE of Fox, Alaska"
47743,explosion,"11 km S of Princeton, Canada"
48041,explosion,"5 km SW of Yacolt, Washington"
48055,explosion,"9 km WSW of Mossyrock, Washington"
48094,explosion,"13 km SSW of Veneta, Oregon"
48420,explosion,"11 km ENE of Fox, Alaska"
48474,explosion,"6 km WNW of Tieton, Washington"
48760,explosion,"3 km W of Deschutes River Woods, Oregon"
48775,explosion,"16 km NNW of Two Rivers, Alaska"
48827,explosion,"14 km WSW of North Saanich, Canada"
49121,explosion,"8 km ENE of Fox, Alaska"
49122,explosion,"7 km NNW of Six Mile, Canada"
49421,explosion,"5 km SW of Cowichan Bay, Canada"
49438,explosion,"4 km SSW of Chilliwack, Canada"
49466,explosion,"13 km NE of Sprague, Washington"
49488,explosion,"5 km S of Entiat, Washington"
49508,explosion,"21 km SSE of Princeton, Canada"
49513,explosion,"6 km SE of Bend, Oregon"
49544,explosion,"3 km NE of Kapowsin, Washington"
49789,explosion,"12 km ENE of Fox, Alaska"
49790,explosion,"7 km ENE of Prescott, Oregon"
49793,explosion,"10 km NNW of Klamath Falls, Oregon"
49825,explosion,"12 km E of Mission, Canada"
49849,explosion,"34 km NE of Amboy, Washington"
50075,explosion,"13 km N of Two Rivers, Alaska"
50095,explosion,"24 km W of Forest Grove, Oregon"
50110,explosion,"4 km ENE of Umatilla, Oregon"
50131,explosion,"8 km E of Mission, Canada"
50140,explosion,"19 km SSW of Morton, Washington"
50469,explosion,"4 km NNW of Lewisville, Washington"
50485,explosion,"4 km N of Enumclaw, Washington"
50493,explosion,"8 km NE of Abbotsford, Canada"
50503,explosion,"8 km SW of Port Angeles, Washington"
50535,explosion,"9 km S of Cascadia, Oregon"
50555,explosion,"12 km ENE of Abbotsford, Canada"
50557,explosion,"8 km S of Princeton, Canada"
50813,explosion,"6 km WNW of Gorst, Washington"
50848,explosion,"2 km SSE of Kapowsin, Washington"
51120,explosion,"11 km E of Fox, Alaska"
51228,explosion,"17 km N of Two Rivers, Alaska"
51456,explosion,"8 km S of Princeton, Canada"
51479,explosion,"13 km ENE of Fox, Alaska"
51791,explosion,"1 km NNW of Kalama, Washington"
51833,explosion,"16 km SSE of Paisley, Oregon"
51840,explosion,"14 km NNW of Two Rivers, Alaska"
51863,explosion,"11 km W of Greenwater, Washington"
52100,explosion,
52103,explosion,Washington
52143,explosion,"2 km ENE of Swede Heaven, Washington"
52157,explosion,"British Columbia, Canada"
52502,explosion,"14 km E of Fox, Alaska"
52527,explosion,"12 km NE of Sprague, Washington"
52837,explosion,Washington-Oregon border region
52845,explosion,"13 km E of Fox, Alaska"
52891,explosion,"8 km ESE of Blyn, Washington"
53166,explosion,"18 km NW of Pendleton, Oregon"
53213,explosion,"14 km NW of Two Rivers, Alaska"
53239,explosion,"6 km NE of Medford, Oregon"
53274,explosion,"13 km SW of North Saanich, Canada"
53561,explosion,"12 km E of Fox, Alaska"
53586,explosion,"9 km S of Princeton, Canada"
53991,explosion,"12 km ENE of Fox, Alaska"
54403,explosion,Washington-Oregon border region
54405,explosion,"9 km ENE of Fox, Alaska"
54450,explosion,"10 km E of Abbotsford, Canada"
54482,explosion,Central Alaska
54845,explosion,"12 km ENE of Fox, Alaska"
54876,explosion,"12 km S of Princeton, Canada"
55279,explosion,"4 km NNW of Kapowsin, Washington"
55336,explosion,"9 km NE of Abbotsford, Canada"
55341,explosion,"12 km ENE of Fox, Alaska"
55367,explosion,"11 km S of Brady, Washington"
55391,explosion,"13 km ESE of Enumclaw, Washington"
55674,explosion,"14 km NNW of Two Rivers, Alaska"
56112,explosion,"10 km E of Fox, Alaska"
56468,explosion,"10 km ENE of Fox, Alaska"
57319,explosion,"11 km ENE of Fox, Alaska"
57836,explosion,"10 km WSW of Porter, Washington"
57870,explosion,"14 km NNW of Two Rivers, Alaska"
58267,explosion,"12 km ENE of Fox, Alaska"
58681,explosion,"10 km ENE of Fox, Alaska"
58770,explosion,"11 km WSW of Chilliwack, Canada"
59129,explosion,"9 km E of Fox, Alaska"
59650,explosion,"13 km NNW of Two Rivers, Alaska"
59909,explosion,"11 km ENE of Fox, Alaska"
59927,explosion,"4 km SW of Tumalo, Oregon"
60278,explosion,"11 km E of Fox, Alaska"
60304,explosion,"7 km SSW of Princeton, Canada"
60332,explosion,"10 km SSE of Shelton, Washington"
60333,explosion,"10 km S of Shelton, Washington"
60727,explosion,
60728,explosion,Oregon
60753,explosion,"21 km NE of Fair Oaks, Oregon"
61023,explosion,"29 km ESE of Florence, Oregon"
61035,explosion,"12 km SSE of Princeton, Canada"
61046,explosion,"3 km SSW of Chilliwack, Canada"
61055,explosion,"6 km NW of Colville, Washington"
62014,explosion,"10 km SSW of Brownsville, Oregon"
62075,explosion,"6 km ENE of Abbotsford, Canada"
62080,explosion,"5 km ENE of Pullman, Washington"
62091,explosion,"3 km NNW of Cowichan Bay, Canada"
62396,explosion,"8 km SE of Amity, Oregon"
62423,explosion,"12 km NW of Langford, Canada"
62424,explosion,"15 km S of Princeton, Canada"
62428,explosion,"12 km W of Chilliwack, Canada"
62431,explosion,"2 km W of Darrington, Washington"
62436,explosion,"1 km SW of Columbia City, Oregon"
62437,explosion,"3 km WNW of Winlock, Washington"
62464,explosion,"11 km NE of Abbotsford, Canada"
62738,explosion,"1 km SW of Sechelt, Canada"
62799,explosion,"7 km NNW of Eagle Point, Oregon"
62869,explosion,"3 km E of Umatilla, Oregon"
63069,explosion,"2 km ESE of Kapowsin, Washington"
63072,explosion,"5 km W of Gorst, Washington"
63106,explosion,"6 km N of Waterloo, Oregon"
63110,explosion,"31 km ENE of Yacolt, Washington"
63127,explosion,"3 km SW of Langford, Canada"
63146,explosion,"12 km SW of North Saanich, Canada"
63401,explosion,"4 km SSE of Umatilla, Oregon"
63980,explosion,"12 km S of Princeton, Canada"
64156,explosion,"5 km W of Mossyrock, Washington"
64176,explosion,"11 km N of Maple Falls, Washington"
64239,explosion,"3 km SW of Darrington, Washington"
64469,explosion,"18 km S of Princeton, Canada"
64483,explosion,"3 km NNE of Granite Falls, Washington"
64493,explosion,"9 km ENE of Abbotsford, Canada"
64498,explosion,"7 km NNW of Six Mile, Canada"
64533,explosion,Oregon
64534,explosion,"8 km ENE of Abbotsford, Canada"
64798,explosion,Oregon
64813,explosion,"5 km N of Lake Cavanaugh, Washington"
65084,explosion,"13 km SSE of Princeton, Canada"
65106,explosion,"9 km SE of Molalla, Oregon"
65137,explosion,"5 km NE of Roseburg North, Oregon"
65429,explosion,"16 km NNW of Two Rivers, Alaska"
65458,explosion,"12 km ESE of Langlois, Oregon"
66338,explosion,"3 km NW of Mount Hood Village, Oregon"
66411,explosion,"18 km NE of Amboy, Washington"
66732,explosion,"11 km WSW of Chilliwack, Canada"
66762,explosion,"6 km SE of Spokane, Washington"
67009,explosion,"3 km WNW of Mount Hood Village, Oregon"
67017,explosion,"20 km SSE of Mossyrock, Washington"
67311,explosion,"2 km WSW of Yacolt, Washington"
67325,explosion,"12 km ENE of Mission, Canada"
67802,explosion,"12 km SW of Chilliwack, Canada"
67815,explosion,"24 km ENE of Nehalem, Oregon"
67830,explosion,"5 km SW of Port Ludlow, Washington"
68125,explosion,"British Columbia, Canada"
68685,explosion,"21 km SSE of Glide, Oregon"
69098,explosion,"4 km ESE of Marcus, Washington"
69368,explosion,"4 km WNW of Dundee, Oregon"
69395,explosion,"14 km S of Princeton, Canada"
69441,explosion,"4 km E of Granite Falls, Washington"
69776,explosion,"3 km NE of Swede Heaven, Washington"
69857,explosion,"19 km S of Morton, Washington"
70133,explosion,"6 km ENE of West Side Highway, Washington"
